DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2020,33740,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,36610,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2022,39620,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2023,41620,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2024,43040,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2015,32110,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2016,32880,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2017,34010,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2018,35000,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2019,36040,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2020,34410,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2021,37320,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2022,40360,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2023,42610,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 12 countries (2001-2006),2024,44030,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2015,31370,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2016,32120,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2017,33260,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2018,34270,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2019,35310,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2020,33740,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2021,36610,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2022,39620,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2023,41870,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),2024,43280,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area – 20 countries (from 2023),2015,31120,,
ESTAT:NAMA_10_PC(1.0),02/05/25 23:00:00,Annual,"Current prices, units of national currency per capita",Gross domestic product at market prices,Euro area – 20 countries (from 2023),2016,31870,,
